,OD,Plein Tarif Loisir 2nde,1ère classe,dist
2307,LORIENT-AEROPORT CDG 2 TGV ROISSY,88.0,123.0,
2308,LORIENT-AIME LA PLAGNE,137.0,179.0,
2309,LORIENT-AIX LES BAINS LE REVARD,137.0,179.0,
2310,LORIENT-ALBERTVILLE,137.0,179.0,
2311,LORIENT-ANNECY,137.0,179.0,
2312,LORIENT-ANNEMASSE,137.0,179.0,
2313,LORIENT-ARRAS,114.0,150.0,
2314,LORIENT-AURAY,9.6,14.3,
2315,LORIENT-BOURG ST MAURICE,137.0,179.0,
2316,LORIENT-DOUAI,114.0,150.0,
2317,LORIENT-MARNE LA VALLEE CHESSY,88.0,123.0,
2318,LORIENT-MOUTIERS SALINS BRIDES,137.0,179.0,
2319,LORIENT-NANTES,35.0,49.0,
2320,LORIENT-PARIS MONTPARNASSE 1 ET 2,91.0,127.0,
2321,LORIENT-QUIMPER,14.8,22.0,
2322,LORIENT-REDON,22.5,33.0,
2323,LORIENT-RENNES,34.0,48.0,
2324,LORIENT-ROSPORDEN,11.5,17.5,
2325,LORIENT-SALLANCHES COMBLOUX MEGEVE,137.0,179.0,
2326,LORIENT-ST GERVAIS LES BAINS LE FAYET,137.0,179.0,
2327,LORIENT-ST MICHEL VALLOIRE,137.0,179.0,
2328,LORIENT-TGV HAUTE PICARDIE,106.0,134.0,
2329,LORIENT-VANNES,12.6,18.5,
2330,LORIENT-VITRE,38.0,54.0,
2331,LORRAINE TGV - FUTUROSCOPE,116.0,154.0,
2332,LORRAINE TGV - NANTES,121.0,159.0,
2333,LORRAINE TGV - POITIERS,116.0,154.0,
2334,LORRAINE TGV - RENNES,132.0,173.0,
2335,LORRAINE TGV-AEROPORT CDG 2 TGV ROISSY,77.0,110.0,
2336,LORRAINE TGV-ARRAS,102.0,122.0,
2337,LORRAINE TGV-DOUAI,102.0,122.0,
2338,LORRAINE TGV-FUTUROSCOPE,112.0,149.0,
2339,LORRAINE TGV-LIBOURNE,141.0,185.0,
2340,LORRAINE TGV-LILLE EUROPE,102.0,122.0,
2341,LORRAINE TGV-MARNE LA VALLEE CHESSY,77.0,110.0,
2342,LORRAINE TGV-NANTES,121.0,158.0,
2343,LORRAINE TGV-PARIS EST,77.0,110.0,
2344,LORRAINE TGV-POITIERS,112.0,149.0,
2345,LORRAINE TGV-RENNES,121.0,158.0,
2346,LORRAINE TGV-ROUEN RIVE DROITE,85.0,118.0,
2347,LORRAINE TGV-SAVERNE,31.0,42.0,
2348,LORRAINE TGV-ST PIERRE DES CORPS,106.0,140.0,
2349,LORRAINE TGV-TGV HAUTE PICARDIE,95.0,115.0,
2350,LORRAINE TGV-VENDOME VILLIERS SUR LOIR,106.0,140.0,
2351,LOURDES - PARIS MONTPARNASSE 1 ET 2,128.0,173.0,
2352,LOURDES-CHATELLERAULT,73.0,105.0,
2353,LOURDES-FUTUROSCOPE,73.0,105.0,
2354,LOURDES-LIBOURNE,49.0,73.0,
2355,LOURDES-MORCENX,25.0,37.0,
2356,LOURDES-PARIS AUSTERLITZ,118.0,156.0,
2357,LOURDES-PARIS MONTPARNASSE 1 ET 2,118.0,156.0,
2358,LOURDES-POITIERS,73.0,105.0,
2359,LOURDES-ST PIERRE DES CORPS,82.0,119.0,
2360,LOURDES-TARBES,6.6,10.0,
2361,LUNEVILLE-PARIS EST,82.0,118.0,
2362,LUNEVILLE-SARREBOURG,11.4,17.5,
2363,LUNEVILLE-SAVERNE,17.5,25.5,
2364,LUNEVILLE-ST DIE,12.6,19.0,
2365,LYON PART DIEU - RENNES,113.0,149.0,
2366,LYON PART DIEU - ST PIERRE DES CORPS,97.0,135.0,
2367,LYON PART DIEU-AEROPORT CDG 2 TGV ROISSY,97.0,133.0,
2368,LYON PART DIEU-AGDE,70.0,95.0,
2369,LYON PART DIEU-AIME LA PLAGNE,44.0,64.0,
2370,LYON PART DIEU-AIX LES BAINS LE REVARD,24.5,37.0,
2371,LYON PART DIEU-ALBERTVILLE,36.0,51.0,
2372,LYON PART DIEU-ANNECY,24.5,37.0,
2373,LYON PART DIEU-ANNEMASSE,33.0,47.0,
2374,LYON PART DIEU-ANTIBES,86.0,121.0,
2375,LYON PART DIEU-ARRAS,116.0,154.0,
2376,LYON PART DIEU-BEAUNE,31.0,45.0,
2377,LYON PART DIEU-BELFORT-MONTBELIARD TGV,67.0,85.0,
2378,LYON PART DIEU-BELLEGARDE,27.0,40.0,
2379,LYON PART DIEU-BESANCON FRANCHE-COMTE TGV,51.0,68.0,
2380,LYON PART DIEU-BOURG EN BRESSE,17.5,27.5,
2381,LYON PART DIEU-BOURG ST MAURICE,46.0,67.0,
2382,LYON PART DIEU-CHALON SUR SAONE,27.5,41.0,
