,Id,degree,group
362,222733449,31,1
363,16623343,31,1
364,20555954,31,1
365,712597133233364992,31,2
366,1273525159568302080,31,1
367,533409964,31,1
368,1971598688,31,1
369,20299479,31,1
370,15582319,31,1
371,15686576,31,1
372,744713,31,1
373,811976,31,1
374,225013119,31,1
375,2855894591,31,1
376,19073546,30,1
377,942808997484285952,30,1
378,2411499757,30,1
379,14095937,30,1
380,382899851,30,1
381,35203319,30,2
382,1390037116407754753,30,1
383,15873993,30,1
384,14072241,30,1
385,847811530963996673,30,1
386,86923907,30,1
387,23618873,30,1
388,102626389,30,1
389,1122887095478095872,30,1
390,2738518132,30,1
391,134939074,29,1
392,14123666,29,1
393,66743,29,1
394,15107569,29,1
395,2412580496,29,0
396,65064576,29,1
397,111153292,29,1
398,231609797,29,1
399,1033748624642068482,29,1
400,2563906424,29,1
401,1412339653332643845,29,1
402,1394290140,29,1
403,19901957,29,1
404,204747066,29,1
405,561105640,29,1
406,16010896,29,1
407,2679561512,29,2
408,3317129602,29,1
409,23757410,28,1
410,2809629301,28,1
411,12029252,28,1
412,335450832,28,1
413,151394118,28,1
414,106404204,28,2
415,16294244,28,1
416,18981723,28,1
417,173909297,28,1
418,20424876,28,2
419,1543159292,28,1
420,544884124,28,2
421,1009423158112342021,28,0
422,15029309,28,1
423,709076062874050560,28,2
424,293068182,28,1
425,17588112,28,1
426,17850785,28,2
427,1036969747,28,1
428,70641472,28,2
429,547678109,28,1
430,179466527,28,1
431,25850685,28,1
432,498825270,28,1
433,3304652481,28,2
434,761200760,27,1
435,14847675,27,2
436,59906761,27,1
437,823335972,27,1
438,1101160467282780163,27,1
439,14360501,27,1
440,834813366073962498,27,1
441,52699824,27,1
442,11841062,27,1
443,12725862,27,1
444,517451910,27,1
445,29963235,27,1
446,793444241628356608,27,2
447,570212160,27,1
448,34554613,27,1
449,398247504,27,1
450,75646708,27,1
451,356829442,27,2
452,3002191311,27,1
453,369151566,27,1
454,2872661847,27,2
455,1277779112,27,1
456,149516982,27,1
457,938410278949146624,27,1
458,3241740251,26,1
459,719654695585886208,26,1
460,14489531,26,1
461,726709567170686976,26,1
462,139764878,26,1
463,10563,26,1
464,21474221,26,1
465,29702523,26,1
466,52214364,26,1
467,1650834678,26,1
468,2873672135,26,1
469,951439279745585152,26,1
470,249382912,26,1
471,3320531566,26,1
472,615927039,26,2
473,14077609,26,1
474,66998204,26,2
475,22991002,26,1
476,56382058,26,2
477,738734319649345536,26,1
478,49311606,26,2
479,11727152,26,2
480,14054507,26,1
481,991985789797109761,26,1
482,770768278759284736,26,0
483,2167077523,26,1
484,14121853,26,1
